time,lat,long,alt,tmp_e,press,obc_tmp,obc_vcc,obc_curr,com_tmp,com_vcc,com_curr,snw_tmp,snw_vcc,snw_curr,Eps_tmp,Eps_vcc,bat_vcc
10:00:00,47.4722N,19.0599E,0,15.0,101325,32.0,3.2,120,32.8,3.2,59,31.9,3.2,108,32.8,3.2,4.50
10:00:50,47.4726N,19.0586E,275,13.2,98063,32.2,3.2,125,33.0,3.2,64,32.3,3.2,114,32.7,3.2,4.50
10:01:40,47.4729N,19.0570E,550,11.4,94886,32.4,3.2,120,33.3,3.2,59,32.6,3.2,109,33.2,3.2,4.50
10:02:30,47.4734N,19.0548E,825,9.6,91794,32.4,3.2,140,33.8,3.2,79,32.9,3.2,128,33.5,3.2,4.50
10:03:20,47.4743N,19.0524E,1100,7.9,88783,32.2,3.2,160,33.9,3.2,98,33.8,3.2,146,34.3,3.2,4.50
10:04:10,47.4759N,19.0494E,1375,6.1,85853,32.0,3.2,120,33.7,3.2,59,33.5,3.2,109,34.4,3.2,4.50
10:05:00,47.4779N,19.0455E,1650,4.3,83002,32.0,3.2,125,33.5,3.2,65,32.5,3.2,114,32.9,3.2,4.50
10:05:50,47.4799N,19.0406E,1925,2.5,80228,30.9,3.2,120,32.5,3.2,58,32.2,3.2,107,32.4,3.2,4.50
10:06:40,47.4818N,19.0349E,2200,0.7,77529,29.8,3.2,140,30.3,3.2,79,30.3,3.2,127,31.1,3.2,4.50
10:07:30,47.4836N,19.0288E,2475,-1.1,74905,28.7,3.2,160,29.4,3.2,100,29.1,3.2,149,29.5,3.2,4.50
10:08:20,47.4851N,19.0225E,2750,-2.9,72353,27.6,3.2,120,29.0,3.2,59,28.9,3.2,108,29.7,3.2,4.50
10:09:10,47.4865N,19.0164E,3025,-4.7,69871,26.5,3.2,125,28.2,3.2,64,27.9,3.2,113,28.0,3.2,4.50
10:10:00,47.4878N,19.0102E,3300,-6.4,67459,25.4,3.2,120,26.0,3.2,58,26.0,3.2,107,26.3,3.2,4.50
10:10:50,47.4890N,19.0040E,3575,-8.2,65115,24.3,3.2,140,25.4,3.2,79,25.3,3.2,129,25.8,3.2,4.50
10:11:40,47.4901N,18.9973E,3850,-10.0,62838,23.2,3.2,160,23.4,3.2,99,22.6,3.2,148,22.8,3.2,4.50
10:12:30,47.4910N,18.9901E,4125,-11.8,60625,22.1,3.2,120,22.6,3.2,59,22.1,3.2,108,23.0,3.2,4.50
10:13:20,47.4917N,18.9824E,4400,-13.6,58476,21.0,3.2,125,22.7,3.2,64,21.8,3.2,114,22.5,3.2,4.50
10:14:10,47.4922N,18.9742E,4675,-15.4,56389,19.9,3.2,120,21.2,3.2,59,21.2,3.2,108,21.6,3.2,4.50
10:15:00,47.4925N,18.9656E,4950,-17.2,54362,18.8,3.2,140,20.0,3.2,79,19.9,3.2,128,20.4,3.2,4.50
10:15:50,47.4927N,18.9568E,5225,-19.0,52395,17.7,3.2,160,19.1,3.2,100,18.2,3.2,148,18.5,3.2,4.40
10:16:40,47.4927N,18.9480E,5500,-20.8,50486,16.6,3.2,120,18.3,3.2,59,18.1,3.2,109,18.7,3.2,4.40
10:17:30,47.4926N,18.9391E,5775,-22.5,48634,15.5,3.2,140,15.7,3.2,79,15.2,3.2,128,15.9,3.2,4.40
10:18:20,47.4924N,18.9302E,6050,-24.3,46837,14.4,3.2,160,15.4,3.2,99,14.7,3.2,148,14.9,3.2,4.40
10:19:10,47.4919N,18.9213E,6325,-26.1,45095,13.3,3.2,120,15.2,3.2,58,14.6,3.2,107,14.8,3.2,4.40
10:20:00,47.4912N,18.9123E,6600,-27.9,43405,12.2,3.2,125,14.2,3.2,64,13.4,3.2,113,14.0,3.2,4.40
10:20:50,47.4902N,18.9029E,6875,-29.7,41767,11.1,3.2,120,13.0,3.2,59,12.1,3.2,109,12.3,3.2,4.40
10:21:40,47.4889N,18.8929E,7150,-31.5,40179,10.0,3.2,140,10.6,3.2,80,9.7,3.2,129,10.3,3.2,4.40
10:22:30,47.4873N,18.8818E,7425,-33.3,38640,8.9,3.2,160,9.2,3.2,98,8.9,3.2,148,9.6,3.2,4.40
10:23:20,47.4854N,18.8691E,7700,-35.1,37150,7.8,3.2,120,9.5,3.2,58,9.3,3.2,108,9.8,3.2,4.40
10:24:10,47.4832N,18.8545E,7975,-36.8,35706,6.7,3.2,160,6.8,3.2,98,6.5,3.2,147,6.8,3.2,4.40
